country,country_code_2_digit,country_code_3_digit,population,cases_count,deaths_count,reported_date,source
Spain,ES,ESP,46937060,,0,2020-02-03,"Epidemic intelligence, national daily data"
Estonia,EE,EST,1324820,,1,2020-04-17,"Epidemic intelligence, national daily data"
Lithuania,LT,LTU,2794184,,0,2020-04-28,"Epidemic intelligence, national daily data"
Norway,NO,NOR,5328212,,0,2020-06-21,"Epidemic intelligence, national daily data"
Italy,IT,ITA,60359546,,839,2020-04-01,"Epidemic intelligence, national daily data"
Bosnia and Herzegovina,BA,BIH,3280815,,0,2020-01-27,"Epidemic intelligence, national daily data"
Slovakia,SK,SVK,5450421,,0,2020-03-06,"Epidemic intelligence, national daily data"
Bosnia and Herzegovina,BA,BIH,3280815,,5,2020-07-20,"Epidemic intelligence, national daily data"
Montenegro,ME,MNE,622182,,0,2020-06-05,"Epidemic intelligence, national daily data"
Belgium,BE,BEL,11455519,,0,2020-03-06,"Epidemic intelligence, national daily data"
Portugal,PT,PRT,10276617,,0,2020-02-03,"Epidemic intelligence, national daily data"
Poland,PL,POL,37972812,,2,2020-04-01,"Epidemic intelligence, national daily data"
Spain,ES,ESP,46937060,,3,2020-06-25,"Epidemic intelligence, national daily data"
Azerbaijan,AZ,AZE,10139175,,8,2020-07-03,"Epidemic intelligence, national daily data"
Guernsey,GG,GGY,64468,,0,2020-02-20,"Epidemic intelligence, national daily data"
Poland,PL,POL,37972812,,2,2020-06-05,"Epidemic intelligence, national daily data"
Albania,AL,ALB,2862427,,0,2020-05-14,"Epidemic intelligence, national daily data"
Switzerland,CH,CHE,8544527,,0,2020-06-02,"Epidemic intelligence, national daily data"
Malta,MT,MLT,493559,,0,2020-03-20,"Epidemic intelligence, national daily data"
Bosnia and Herzegovina,BA,BIH,3280815,,0,2020-02-02,"Epidemic intelligence, national daily data"
Germany,DE,DEU,83019213,,11,2020-10-11,"Epidemic intelligence, national daily data"
Lithuania,LT,LTU,2794184,,0,2020-08-11,"Epidemic intelligence, national daily data"
Austria,AT,AUT,8858775,,22,2020-10-07,"Epidemic intelligence, national daily data"
Slovakia,SK,SVK,5450421,,0,2020-10-14,"Epidemic intelligence, national daily data"
Denmark,DK,DNK,5806081,,0,2020-08-10,"Epidemic intelligence, national daily data"
North Macedonia,MK,MKD,2077132,,4,2020-05-01,"Epidemic intelligence, national daily data"
Georgia,GE,GEO,3989175,,0,2020-01-25,"Epidemic intelligence, national daily data"
Malta,MT,MLT,493559,,0,2020-05-10,"Epidemic intelligence, national daily data"
Georgia,GE,GEO,3989175,,0,2020-02-08,"Epidemic intelligence, national daily data"
Georgia,GE,GEO,3989175,,0,2020-07-06,"Epidemic intelligence, national daily data"
Latvia,LV,LVA,1919968,,0,2020-02-07,"Epidemic intelligence, national daily data"
Serbia,RS,SRB,6963764,,8,2020-07-29,"Epidemic intelligence, national daily data"
Malta,MT,MLT,493559,,0,2020-01-15,"Epidemic intelligence, national daily data"
Jersey,JE,JEY,107796,,0,2020-04-28,"Epidemic intelligence, national daily data"
Slovenia,SI,SVN,2080908,,1,2020-09-10,"Epidemic intelligence, national daily data"
Austria,AT,AUT,8858775,,0,2020-02-21,"Epidemic intelligence, national daily data"
Luxembourg,LU,LUX,613894,,4,2020-05-04,"Epidemic intelligence, national daily data"
Armenia,AM,ARM,2963234,,7,2020-06-06,"Epidemic intelligence, national daily data"
Slovenia,SI,SVN,2080908,,0,2020-08-01,"Epidemic intelligence, national daily data"
Sweden,SE,SWE,10230185,,33,2020-06-08,"Epidemic intelligence, national daily data"
Poland,PL,POL,37972812,,7,2020-05-02,"Epidemic intelligence, national daily data"
Bosnia and Herzegovina,BA,BIH,3280815,,2,2020-04-22,"Epidemic intelligence, national daily data"
Jersey,JE,JEY,107796,,0,2020-02-21,"Epidemic intelligence, national daily data"
Azerbaijan,AZ,AZE,10139175,,6,2020-06-26,"Epidemic intelligence, national daily data"
Germany,DE,DEU,83019213,,1,2020-08-29,"Epidemic intelligence, national daily data"
Ukraine,UA,UKR,43733759,,0,2020-03-15,"Epidemic intelligence, national daily data"
Austria,AT,AUT,8858775,,0,2020-01-16,"Epidemic intelligence, national daily data"
Armenia,AM,ARM,2963234,,4,2020-05-31,"Epidemic intelligence, national daily data"
Bulgaria,BG,BGR,7000039,,0,2020-01-31,"Epidemic intelligence, national daily data"
Andorra,AD,AND,76177,,0,2020-02-11,"Epidemic intelligence, national daily data"
Germany,DE,DEU,83019213,,2,2020-03-21,"Epidemic intelligence, national daily data"
Moldova,MD,MDA,4033963,,8,2020-07-05,"Epidemic intelligence, national daily data"
Switzerland,CH,CHE,8544527,,4,2020-09-25,"Epidemic intelligence, national daily data"
Belarus,BY,BLR,9449321,,4,2020-05-17,"Epidemic intelligence, national daily data"
Czechia,CZ,CZE,10649800,,0,2020-02-05,"Epidemic intelligence, national daily data"
